paper_id,method_name,r_precision,ip@3,ir@3,jaccard@3,map,mrr,ir@4,ir@5,ir@6,ir@7
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,Proposed-v2,0.5,0.666667,1.0,0.666667,0.833333,1.0,1.0,1.0,1.0,1.0
2016_G_B067.pdf-f6c8e02c-ac22-49cb-a2f4-6f0cb4726072,Proposed-v2,0.666667,0.666667,0.666667,0.5,0.833333,1.0,0.666667,0.666667,1.0,1.0
2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,Proposed-v2,0.666667,0.666667,0.666667,0.5,0.722222,1.0,0.666667,0.666667,1.0,1.0
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.527778,1.0,0.333333,0.333333,0.333333,0.333333
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.591667,1.0,0.333333,0.666667,0.666667,0.666667
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.47549,1.0,0.333333,0.333333,0.333333,0.333333
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.587302,1.0,0.333333,0.333333,0.666667,1.0
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,Proposed-v2,0.333333,0.333333,0.333333,0.2,0.444444,0.5,0.666667,0.666667,0.666667,0.666667
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,Proposed-v2,0.5,0.666667,0.5,0.4,0.512121,1.0,0.5,0.5,0.5,0.5
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,Proposed-v2,0.0,0.0,0.0,0.0,0.291667,0.25,0.5,0.5,1.0,1.0
2017_G_D035.pdf-dd7e65e6-ee52-4f20-a6d6-e97d20729925,Proposed-v2,1.0,0.333333,1.0,0.333333,1.0,1.0,1.0,1.0,1.0,1.0
2018_G_A229.pdf-b6d5ce70-0a39-4325-8406-1c887d9ce90c,Proposed-v2,0.0,0.0,0.0,0.0,0.25,0.25,1.0,1.0,1.0,1.0
2018_G_A440.pdf-065775f5-ff13-48f5-b12d-623da439971f,Proposed-v2,0.0,0.333333,1.0,0.333333,0.5,0.5,1.0,1.0,1.0,1.0
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,Proposed-v2,1.0,0.666667,1.0,0.666667,1.0,1.0,1.0,1.0,1.0,1.0
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,Proposed-v2,1.0,1.0,0.6,0.6,1.0,1.0,0.8,1.0,1.0,1.0
