paper_id,figure_id,caption,figure_index,body_order_rank,explicit_ref_count,p_type,type_category,s_direct,s_link,p_layout,s_direct_pct,s_link_pct,p_layout_pct,cluster_top1_label,Proposed_rank
2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,6bb60d338e4cb2afb069709c4fe80fa77b1158dc898273edf04ac274054b54aa,图16 小区开放与否的评判准则,16,16.0,0,1.0,other,0.003,1.0,0.2447,0.1579,0.7368,0.1579,,16
2016_G_B294.pdf-efa735c1-180d-4ef2-b2e3-71ef259ee165,d75eec99d039666c9adef8a87404ee89e0088b124a7e8ae64473cb98478c214b,图3指标体系,3,3.0,1,1.0,other,-0.0053,0.527,0.5,0.0,0.5263,0.8947,,4
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,057cfee7e00682b8dbd7b9075c3f6c333f3d4e5dc546c0f357168b6733c664c2,图1黄金分割法上下界点、左右探测点图示,1,1.0,1,1.0,other,0.0444,1.0,1.0,0.6667,0.5,0.9444,,1
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,9aca72f0045cd4e335748bc6f73f78ca06570ecf472ce4dc3eb087b6add9a9bd,图12附件3介质最终重建图像,12,12.0,0,1.0,other,0.0618,1.0,0.2702,0.8333,0.5,0.3333,,18
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,fd93917298efe0bd4563b48a653c3c4aec307a94ee7d8674643c124d455613a2,图14附件5介质最终重建图像,14,14.0,1,1.0,other,0.0573,1.0,0.256,0.7778,0.5,0.2222,,15
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,15f3cea67abd9264154eb2f74f09c20075a1e52d841dff08ae319789a38ec2da,图1 任务分布情况图,1,1.0,2,1.0,result_plot,0.0513,1.0,1.0,0.8,0.5,0.9,,1
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,9a4b14c8e85640912d0dba1cc3db825d9456f1acd8e3a5c7a91042a661f82270,图7打包任务点的算法流程图,7,7.0,1,1.5,framework,0.03,0.5207,0.3333,0.1,0.3,0.4,,7
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,9f8550f3a2f716509bb19f9846caa0f19a4ddaaa842e0cb353e0b8ee12a2c19a,图10 附件三任务点分布情况,10,10.0,1,1.0,result_plot,0.0385,0.4408,0.2891,0.6,0.2,0.1,,10
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,16c4432b4e07e0cbfa3859ae3b387c35e31427442529062daa4ef60879d1d673,图1 任务点按照价格区间分类的空间分布图,1,1.0,0,1.0,result_plot,-0.0137,1.0,1.0,0.0,0.5833,0.9583,,1
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,1b8e42e424f380b48538ee13a4aceef114ec751c2bfcddc40f1d1730ce0a400b,图14各个任务点处的行动力消耗,14,14.0,0,1.0,other,0.008,0.25,0.256,0.4167,0.0417,0.4167,,24
2017_G_B154.pdf-6b295a37-7f1d-4087-aa6b-498ebc227dfe,9d22e9c63d341b398c25603a57e22f8c5ae5c4c1cabefb4f8a845a311ee3b8f5,图12任务价格与被完成概率的关系,12,12.0,0,1.0,other,0.0204,1.0,0.2702,0.4583,0.5833,0.5,,2
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,5f26689bd0a4dd2a61eb9ce36f07e5f4fcee42d4fbe29bb376cf36882308987c,图11模型三的最优定价方案和模型二的最优定价方案的对比图,11,11.0,0,1.0,result_plot,0.0343,0.567,0.2789,0.8824,0.7059,0.2941,,4
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,6cbb5766e49ddcde830d4baa4614abde7ee7241ed6b523a01adf1d2772466daf,图6 问题二的思路流程图,6,6.0,0,1.5,framework,-0.008,0.262,0.3562,0.1765,0.0,0.6471,,6
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,c78480438f1ce9d7fc1231f013133ebafc67994dc121e1788daf6428d471c572,图1问题一的思路流程图,1,1.0,1,1.5,framework,-0.0075,0.2666,1.0,0.2353,0.0588,0.9412,,1
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,04b16b660eef3e29e138bfc6e1d1913ee640736897ba56ebc57e6eecebaa638b,图4 会员密度分布,4,4.0,1,1.0,result_plot,0.0227,1.0,0.4307,0.5,0.2,0.6,,4
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,3cc9b87ed257782c9decf90b978433ec7e4188463dee02217f07628675e61bf0,图2 任务定价的地理分布,2,2.0,3,1.0,result_plot,0.0291,1.0,0.6309,0.7,0.2,0.8,,1
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,cf26a986966192ed8d35464af2c190b852ff072c2639038d892d92023dfe401f,图10公式I与公式II所得数据的C-Q折线图（纵坐标为C，横坐标为Q）因此，在这一模型中，公式II更优一些。,10,10.0,1,0.8,schematic,0.0199,0.6643,0.2891,0.4,0.1,0.0,,5
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,36432a499cb8c8f3f007f6a9b89259632649f7b5a46efacab3eb203ec706ed48,图33不合理打包（左），合理打包（右）,33,33.0,1,1.0,other,0.0103,1.0,0.1966,0.1364,0.5909,0.2727,,38
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,491a91a5a6e975735cfeb44e0cbfa1aa26eff68050177d9d72ac5f5f8fae9390,图29成功执行/未成功执行任务曲面与合理定价范围,29,29.0,0,1.0,other,0.0344,1.0,0.2038,0.5682,0.5909,0.3636,,33
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,c6fa9eec45154c1c71e538be188bddd44f603ea869f78c4578ecfad108674741,图1用户、系统、任务三者逻辑关系,1,1.0,1,1.0,other,0.0563,0.3922,1.0,0.75,0.3182,0.9773,,15
2017_G_B447.pdf-bba1d9f9-3235-4893-aeb8-689cd6ed9376,c9d8f6f292d157551346c0eb3e58068b2135e776ea053b5e42e0ffb1e0916569,图37定价流程,37,37.0,0,1.5,framework,0.0544,1.0,0.1906,0.7045,0.5909,0.1818,,2
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,374efbf66188da820e2bc09e9f7c35f59d0042d2a1b6ee3516edbd75716cfc5f,图8： 固时上班可休息巡检路线图,8,8.0,0,1.0,other,0.005,1.0,0.3155,0.7778,0.5556,0.1111,,3
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,753ab56fd65f64377d0380f026d4f60c694afe030c59873f336935d55da9cf61,图6： 固时上班五条路线巡检路线图,6,6.0,1,1.0,other,-0.0239,0.4126,0.3562,0.0,0.3333,0.3333,,4
2017_G_D035.pdf-dd7e65e6-ee52-4f20-a6d6-e97d20729925,471e0fe7e96a6bd0a1f356840b3a7becf8f51f1684a3163909510fddb38d2eb8,图1 本文解题过程,1,1.0,1,1.0,other,0.0318,1.0,1.0,0.5714,0.4286,0.8571,,1
2018_G_A229.pdf-b6d5ce70-0a39-4325-8406-1c887d9ce90c,6fcb8006b5290b81f7d9690a378351710d0a335fdf20bc7fd8f990b7762617e9,图5.3“环境-防护服-人体”系统示意图,5.3,5.3,0,1.0,schematic,0.0827,1.0,0.3766,0.9091,0.5455,0.5455,,3
2018_G_A440.pdf-065775f5-ff13-48f5-b12d-623da439971f,87e2b518560908a3c9480ca8a88a6dfb816089d1c7a938ebdcaa972ab4a530ac,图1：一维传热模型,1,1.0,0,1.0,schematic,-0.0242,0.3292,1.0,0.2,0.4,0.9,,3
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,2c438777da1e87279ec9bb2634a1b0895b0eb62d1f53a8eb1c59ceb8df251e9c,图4: 温度分布,4,4.0,2,1.0,result_plot,0.0289,1.0,0.4307,0.6667,0.5,0.6667,,2
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,9e5d3a29abda580e73281d9aab85720a5a1d8e7de09bc3296791a238d6dc7ccd,图1：模型示意图,1,1.0,1,1.0,schematic,0.0331,1.0,1.0,0.8333,0.5,0.9167,,1
