k,method_a,method_b,miss_jaccard,hit_jaccard,cohen_kappa,miss_a,miss_b,miss_intersection,miss_union,rescue_a_to_b,rescue_b_to_a,complementarity_a_to_b,complementarity_b_to_a
5,Proposed,Proposed-v2,0.66,0.7258,0.6367,43,40,33,50,10,7,0.2,0.14
5,Proposed,Qwen3-VL-Rerank-ImgCap+Link,0.4464,0.5571,0.3348,43,38,25,56,18,13,0.3214,0.2321
5,Proposed,Qwen3-VL-Rerank-ImgCap,0.4754,0.5152,0.3256,43,47,29,61,14,18,0.2295,0.2951
5,Proposed,Qwen3-VL-Rerank-Img,0.4821,0.5735,0.3802,43,40,27,56,16,13,0.2857,0.2321
5,Proposed,Layout-Order,0.5536,0.6094,0.47,43,44,31,56,12,13,0.2143,0.2321
5,Proposed,Caption-BM25,0.4857,0.4098,0.262,43,61,34,70,9,27,0.1286,0.3857
5,Proposed,Caption-Dense-v4,0.5,0.3898,0.2677,43,65,36,72,7,29,0.0972,0.4028
5,Proposed,Zero-shot-CLIP,0.3472,0.3286,0.0232,43,54,25,72,18,29,0.25,0.4028
5,Proposed-v2,Qwen3-VL-Rerank-ImgCap+Link,0.5,0.6232,0.4348,40,38,26,52,14,12,0.2692,0.2308
5,Proposed-v2,Qwen3-VL-Rerank-ImgCap,0.4746,0.5373,0.3463,40,47,28,59,12,19,0.2034,0.322
5,Proposed-v2,Qwen3-VL-Rerank-Img,0.4815,0.5942,0.3955,40,40,26,54,14,14,0.2593,0.2593
5,Proposed-v2,Layout-Order,0.5849,0.6562,0.5314,40,44,31,53,9,13,0.1698,0.2453
5,Proposed-v2,Caption-BM25,0.4638,0.4127,0.2545,40,61,32,69,8,29,0.1159,0.4203
5,Proposed-v2,Caption-Dense-v4,0.4384,0.3492,0.1843,40,65,32,73,8,33,0.1096,0.4521
5,Proposed-v2,Zero-shot-CLIP,0.3056,0.3151,-0.0304,40,54,22,72,18,32,0.25,0.4444
5,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-ImgCap,0.5741,0.6406,0.5148,38,47,31,54,7,16,0.1296,0.2963
5,Qwen3-VL-Rerank-ImgCap+Link,Qwen3-VL-Rerank-Img,0.6957,0.7778,0.6957,38,40,32,46,6,8,0.1304,0.1739
5,Qwen3-VL-Rerank-ImgCap+Link,Layout-Order,0.4386,0.5429,0.3162,38,44,25,57,13,19,0.2281,0.3333
5,Qwen3-VL-Rerank-ImgCap+Link,Caption-BM25,0.3944,0.3582,0.1434,38,61,28,71,10,33,0.1408,0.4648
5,Qwen3-VL-Rerank-ImgCap+Link,Caption-Dense-v4,0.4306,0.3594,0.1961,38,65,31,72,7,34,0.0972,0.4722
5,Qwen3-VL-Rerank-ImgCap+Link,Zero-shot-CLIP,0.3143,0.3425,0.0164,38,54,22,70,16,32,0.2286,0.4571
5,Qwen3-VL-Rerank-ImgCap,Qwen3-VL-Rerank-Img,0.6111,0.6613,0.5572,47,40,33,54,14,7,0.2593,0.1296
5,Qwen3-VL-Rerank-ImgCap,Layout-Order,0.5424,0.5714,0.4311,47,44,32,59,15,12,0.2542,0.2034
5,Qwen3-VL-Rerank-ImgCap,Caption-BM25,0.5,0.3898,0.2444,47,61,36,72,11,25,0.1528,0.3472
5,Qwen3-VL-Rerank-ImgCap,Caption-Dense-v4,0.4933,0.3448,0.2031,47,65,37,75,10,28,0.1333,0.3733
5,Qwen3-VL-Rerank-ImgCap,Zero-shot-CLIP,0.4225,0.3692,0.1381,47,54,30,71,17,24,0.2394,0.338
5,Qwen3-VL-Rerank-Img,Layout-Order,0.4483,0.5362,0.3184,40,44,26,58,14,18,0.2414,0.3103
5,Qwen3-VL-Rerank-Img,Caption-BM25,0.4028,0.3485,0.1336,40,61,29,72,11,32,0.1528,0.4444
5,Qwen3-VL-Rerank-Img,Caption-Dense-v4,0.4789,0.3934,0.2639,40,65,34,71,6,31,0.0845,0.4366
5,Qwen3-VL-Rerank-Img,Zero-shot-CLIP,0.3429,0.3521,0.0521,40,54,24,70,16,30,0.2286,0.4286
5,Layout-Order,Caption-BM25,0.4189,0.3281,0.1133,44,61,31,74,13,30,0.1757,0.4054
5,Layout-Order,Caption-Dense-v4,0.5139,0.3966,0.2826,44,65,37,72,7,28,0.0972,0.3889
5,Layout-Order,Zero-shot-CLIP,0.4203,0.3939,0.1663,44,54,29,69,15,25,0.2174,0.3623
5,Caption-BM25,Caption-Dense-v4,0.575,0.3061,0.2005,61,65,46,80,15,19,0.1875,0.2375
5,Caption-BM25,Zero-shot-CLIP,0.4557,0.2712,0.0581,61,54,36,79,25,18,0.3165,0.2278
5,Caption-Dense-v4,Zero-shot-CLIP,0.4691,0.2456,0.0467,65,54,38,81,27,16,0.3333,0.1975
