paper_id,group_name,k,pairwise_pool_jaccard_mean,union_gain,actual_budget,pool_gt_recall,overlap_median_ref,gain_median_ref,quadrant
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,PRIMARY_ALL_9,6,0.4757,0.0,10,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,Proposed+Qwen+Layout,6,0.8095,0.0,7,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,PRIMARY_ALL_9,6,0.7698,0.0,7,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,Proposed+Qwen+Layout,6,1.0,0.0,6,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,PRIMARY_ALL_9,6,1.0,0.0,6,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,Proposed+Qwen+Layout,6,1.0,0.0,6,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,PRIMARY_ALL_9,6,0.9365,0.0,7,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,Proposed+Qwen+Layout,6,1.0,0.0,5,1.0,0.4159,0.0,Q2_consensus_hit
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,PRIMARY_ALL_9,6,1.0,0.0,5,1.0,0.4159,0.0,Q2_consensus_hit
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,Proposed+Qwen+Layout,6,0.4,0.0,10,0.75,0.4159,0.0,Q3_complementary
2023_G_A092.pdf-5db87c85-f001-44bb-9cd1-933c32b9efdf,PRIMARY_ALL_9,6,0.2375,0.0,23,0.75,0.4159,0.0,Q3_complementary
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,Proposed+Qwen+Layout,6,0.4159,0.1429,10,0.7143,0.4159,0.0,Q2_consensus_hit
2023_G_A127.pdf-c7af97bb-63f5-4e7a-ae28-7f7b3d4f016c,PRIMARY_ALL_9,6,0.2745,0.2857,18,0.8571,0.4159,0.0,Q3_complementary
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,Proposed+Qwen+Layout,6,0.5,0.4,9,1.0,0.4159,0.0,Q2_consensus_hit
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,PRIMARY_ALL_9,6,0.5397,0.4,11,1.0,0.4159,0.0,Q2_consensus_hit
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,Proposed+Qwen+Layout,6,0.4159,0.125,10,0.625,0.4159,0.0,Q2_consensus_hit
2023_G_B226.pdf-138a457c-a3d1-4dec-a2b6-3b5dc1265cc7,PRIMARY_ALL_9,6,0.2855,0.5,18,1.0,0.4159,0.0,Q3_complementary
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,Proposed+Qwen+Layout,6,0.5159,0.0,9,0.6667,0.4159,0.0,Q2_consensus_hit
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,PRIMARY_ALL_9,6,0.4869,0.3333,10,1.0,0.4159,0.0,Q2_consensus_hit
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,Proposed+Qwen+Layout,6,0.4444,0.3333,9,1.0,0.4159,0.0,Q2_consensus_hit
2023_G_C050.pdf-2049a35a-b3ce-49bb-a0db-827272b74086,PRIMARY_ALL_9,6,0.3322,0.3333,15,1.0,0.4159,0.0,Q3_complementary
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,Proposed+Qwen+Layout,6,0.0667,0.0,16,1.0,0.4159,0.0,Q3_complementary
2023_G_C228.pdf-b2387ac6-a2c5-4f0e-a228-e82e75c63418,PRIMARY_ALL_9,6,0.1885,0.0,20,1.0,0.4159,0.0,Q3_complementary
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,Proposed+Qwen+Layout,6,0.2381,0.0,13,0.4,0.4159,0.0,Q3_complementary
2023_G_E032.pdf-a2ac9d24-a978-4750-bdfc-d48988ea3d38,PRIMARY_ALL_9,6,0.276,0.0,20,0.4,0.4159,0.0,Q3_complementary
2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,Proposed+Qwen+Layout,6,0.1717,0.0,13,0.6667,0.4159,0.0,Q3_complementary
2023_G_E176.pdf-6a7252f2-fcac-48bd-9de1-2adf091599c5,PRIMARY_ALL_9,6,0.1337,0.3333,29,1.0,0.4159,0.0,Q3_complementary
