group_name,k,n_papers,actual_budget_mean,actual_budget_median,actual_budget_p25,actual_budget_p75,actual_budget_min,actual_budget_max,compression_ratio_mean,compression_ratio_median,pool_gt_recall_micro,union_gain_mean,pairwise_pool_jaccard_mean
P+Dense,4,31,6.58,7.0,6.0,7.0,4,8,0.8226,0.875,0.5895,0.0753,0.2562
P+Dense,5,31,7.71,8.0,7.0,9.0,5,10,0.771,0.8,0.6211,0.0366,0.3486
P+Dense,6,31,8.97,9.0,8.0,10.0,5,12,0.7473,0.75,0.6842,0.0366,0.3859
P+Dense,7,31,10.06,10.0,9.0,12.0,5,14,0.7189,0.7143,0.7158,0.0151,0.4394
P+L,3,31,4.26,4.0,4.0,5.0,3,6,0.7097,0.6667,0.4947,0.0145,0.4548
P+L,4,31,5.58,6.0,5.0,6.0,4,8,0.6976,0.75,0.5789,0.0145,0.4888
P+L,5,31,6.84,7.0,6.0,8.0,5,10,0.6839,0.7,0.6737,0.0299,0.5174
P+L,6,31,8.13,8.0,7.5,9.0,5,12,0.6774,0.6667,0.7158,0.0299,0.5235
P+L,7,31,9.42,9.0,8.0,10.0,5,14,0.6728,0.6429,0.7474,0.028,0.5239
P+Pv2,3,31,3.68,4.0,3.0,4.0,3,5,0.6129,0.6667,0.4737,0.0065,0.6806
P+Pv2,4,31,4.9,5.0,4.5,5.0,4,6,0.6129,0.625,0.5684,0.004,0.6602
P+Pv2,5,31,5.97,6.0,5.0,7.0,5,8,0.5968,0.6,0.6526,0.0108,0.7151
P+Pv2,6,31,7.06,7.0,6.0,8.0,5,10,0.5887,0.5833,0.6842,0.0,0.7272
P+Pv2,7,31,8.06,8.0,7.0,9.0,5,11,0.576,0.5714,0.7053,0.0065,0.7465
P+Q,3,31,4.84,5.0,4.0,5.0,3,6,0.8064,0.8333,0.6,0.0638,0.2774
P+Q,4,31,6.23,6.0,5.0,7.0,5,8,0.7782,0.75,0.6947,0.0471,0.321
P+Q,5,31,7.48,7.0,6.0,9.0,5,10,0.7484,0.7,0.7368,0.0427,0.3947
P+Q,6,31,8.84,8.0,8.0,10.5,5,12,0.7366,0.6667,0.7895,0.0427,0.4111
P+Q,7,31,9.87,10.0,8.5,11.0,5,14,0.7051,0.7143,0.8105,0.0363,0.4702
P+Qcap,3,31,5.1,5.0,5.0,6.0,3,6,0.8495,0.8333,0.5684,0.0576,0.2097
P+Qcap,4,31,6.52,6.0,6.0,8.0,5,8,0.8145,0.75,0.6526,0.0299,0.2676
P+Qcap,5,31,7.81,7.0,7.0,9.0,5,10,0.7806,0.7,0.6947,0.0261,0.3385
P+Qcap,6,31,9.1,9.0,7.0,11.0,5,12,0.7581,0.75,0.7263,0.0261,0.3855
P+Qcap,7,31,10.16,10.0,8.5,12.5,5,14,0.7258,0.7143,0.7474,0.0261,0.435
P+Qimg,3,31,5.06,5.0,5.0,5.5,3,6,0.8441,0.8333,0.6105,0.0551,0.2129
P+Qimg,4,31,6.45,6.0,6.0,7.0,5,8,0.8065,0.75,0.6947,0.0323,0.2697
P+Qimg,5,31,7.65,8.0,7.0,8.5,5,10,0.7645,0.8,0.7158,0.0301,0.3588
P+Qimg,6,31,8.77,9.0,8.0,10.0,5,12,0.7312,0.75,0.7579,0.0151,0.4139
P+Qimg,7,31,9.84,10.0,8.0,12.0,5,13,0.7028,0.7143,0.7895,0.0255,0.4704
PRIMARY_ALL_9,3,31,10.32,11.0,8.0,12.5,4,16,0.3823,0.4074,0.8632,0.1418,0.2642
PRIMARY_ALL_9,4,31,12.29,13.0,9.0,15.0,5,22,0.3414,0.3611,0.9053,0.1342,0.3127
PRIMARY_ALL_9,5,31,13.61,14.0,10.0,17.0,5,27,0.3025,0.3111,0.9263,0.1189,0.3767
PRIMARY_ALL_9,6,31,14.55,15.0,10.0,18.5,5,31,0.2694,0.2778,0.9263,0.1081,0.4272
PRIMARY_ALL_9,7,31,15.35,15.0,10.0,20.5,5,33,0.2437,0.2381,0.9579,0.0974,0.4809
Proposed,3,31,3.0,3.0,3.0,3.0,3,3,1.0,1.0,0.4,0.0,1.0
