selected_count,paper_count,ratio
1,4,0.12903225806451613
2,7,0.22580645161290322
3,13,0.41935483870967744
4,2,0.06451612903225806
5,3,0.0967741935483871
7,1,0.03225806451612903
8,1,0.03225806451612903
