paper_id,strategy,allfig_group,total_figure_count,figure_bin,allfig_score,best_prerecall_score,best_prerecall_group,best_prerecall_method,delta_allfig_minus_best,allfig_wins,allfig_ties,Proposed_score,delta_allfig_minus_Proposed,allfig_beats_Proposed,Layout_score,delta_allfig_minus_Layout,allfig_beats_Layout,QwenVL_score,delta_allfig_minus_QwenVL,allfig_beats_QwenVL
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,text_rag_then_rewrite,AllFig-RAG,5,≤10,0.1461779341726841,0.5802540331788274,Prop-RAG-T6,Proposed,-0.4340760990061433,False,False,0.5802540331788274,-0.4340760990061433,False,0.5171198241170836,-0.37094188994439947,False,0.410500961386163,-0.2643230272134789,False
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,text_rag_then_rewrite,AllFig-RAG,6,≤10,0.6529232366181846,0.7592335615563953,Prop-RAG-T6,Proposed,-0.10631032493821069,False,False,0.7592335615563953,-0.10631032493821069,False,0.4208136771907326,0.23210955942745204,True,0.4520769683826956,0.200846268235489,True
2017_G_D035.pdf-dd7e65e6-ee52-4f20-a6d6-e97d20729925,text_rag_then_rewrite,AllFig-RAG,7,≤10,0.5886863486045751,0.6952669239792931,Prop-RAG-T6,Proposed,-0.10658057537471799,False,False,0.6952669239792931,-0.10658057537471799,False,0.2418691639997521,0.346817184604823,True,0.2858248977038023,0.3028614509007728,True
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,text_rag_then_rewrite,AllFig-RAG,7,≤10,0.8033665953831655,0.8018386760670052,Layout-RAG-T6,Layout,0.0015279193161602533,True,False,0.6847002942172146,0.1186663011659509,True,0.8018386760670052,0.0015279193161602533,True,0.6824300396719449,0.12093655571122053,True
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,text_rag_then_rewrite,AllFig-RAG,7,≤10,0.33290432584424,0.5434277714147618,Prop-RAG-T6,Proposed,-0.21052344557052183,False,False,0.5434277714147618,-0.21052344557052183,False,0.3290036289428528,0.003900696901387224,True,0.3701003658771419,-0.03719604003290189,False
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,text_rag_then_rewrite,AllFig-RAG,9,≤10,0.6024275974277946,0.6886860068560404,Prop-RAG-T6,Proposed,-0.08625840942824581,False,False,0.6886860068560404,-0.08625840942824581,False,0.4656829857309592,0.13674461169683544,True,0.5937290035532311,0.00869859387456351,True
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,text_rag_then_rewrite,AllFig-RAG,10,≤10,0.3107937495716765,0.3572690731452445,Layout-RAG-T6,Layout,-0.046475323573567984,False,False,0.1513287447008245,0.159465004870852,True,0.3572690731452445,-0.046475323573567984,False,0.2503327130821421,0.06046103648953438,True
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,text_rag_then_rewrite,AllFig-RAG,10,≤10,0.3322571310612796,0.4718867537608427,QwenVL-RAG-T6,QwenVL,-0.13962962269956314,False,False,0.3258738578911059,0.006383273170173676,True,0.4212395390665767,-0.08898240800529711,False,0.4718867537608427,-0.13962962269956314,False
2018_G_A440.pdf-065775f5-ff13-48f5-b12d-623da439971f,text_rag_then_rewrite,AllFig-RAG,10,≤10,0.4384538696971279,0.5048218617045369,Layout-RAG-T6,Layout,-0.066367992007409,False,False,0.4567247451552009,-0.018270875458072988,False,0.5048218617045369,-0.066367992007409,False,0.2236505592640133,0.2148033104331146,True
2018_G_A229.pdf-b6d5ce70-0a39-4325-8406-1c887d9ce90c,text_rag_then_rewrite,AllFig-RAG,11,11–15,0.1375204303654374,0.409226048387199,Layout-RAG-T6,Layout,-0.27170561802176163,False,False,0.1333968683651515,0.0041235620002859075,True,0.409226048387199,-0.27170561802176163,False,0.1337981547280581,0.003722275637379313,True
2023_G_A175.pdf-8d4a4c05-3206-497f-bcd2-34719146185f,text_rag_then_rewrite,AllFig-RAG,11,11–15,0.201521976894552,0.346461844377104,Prop-RAG-T6,Proposed,-0.14493986748255197,False,False,0.346461844377104,-0.14493986748255197,False,0.3069472290389727,-0.1054252521444207,False,0.1694349126031777,0.03208706429137431,True
2023_G_B311.pdf-4c40818a-19f0-4e8f-bea2-d2c28c9a7a93,text_rag_then_rewrite,AllFig-RAG,11,11–15,0.1528883189898977,0.3165243408267008,Prop-RAG-T6,Proposed,-0.1636360218368031,False,False,0.3165243408267008,-0.1636360218368031,False,0.314458382186599,-0.1615700631967013,False,0.1848947649094522,-0.03200644591955451,False
2018_G_A466.pdf-f42c5f5a-ee2d-4f66-84b0-d3e32153a4e5,text_rag_then_rewrite,AllFig-RAG,12,11–15,0.3924415967807527,0.5964238763634653,Layout-RAG-T6,Layout,-0.2039822795827126,False,False,0.4012277829493204,-0.008786186168567689,False,0.5964238763634653,-0.2039822795827126,False,0.5952170062337664,-0.2027754094530137,False
2016_G_A433.pdf-ace5f580-0291-4b74-8e8a-3e24514c4563,text_rag_then_rewrite,AllFig-RAG,13,11–15,0.1173876639063919,0.3346903639717588,Layout-RAG-T6,Layout,-0.2173027000653669,False,False,0.2128130079671921,-0.09542534406080021,False,0.3346903639717588,-0.2173027000653669,False,0.2779914516953842,-0.1606037877889923,False
2016_G_A194.pdf-b86a85b1-ff13-48a6-90bc-0afc1ed6de24,text_rag_then_rewrite,AllFig-RAG,15,11–15,0.534874322202271,0.5010086112878727,Prop-RAG-T6,Proposed,0.033865710914398384,True,False,0.5010086112878727,0.033865710914398384,True,0.4046600513480932,0.13021427085417786,True,0.1473330601466428,0.3875412620556282,True
2016_G_B022.pdf-45c1977b-4052-4367-8a33-85a423730b3d,text_rag_then_rewrite,AllFig-RAG,17,16–20,0.4863523835940092,0.4697549071777315,Layout-RAG-T6,Layout,0.01659747641627768,True,False,0.4617653852843174,0.0245869983096918,True,0.4697549071777315,0.01659747641627768,True,0.1748429367934193,0.3115094468005899,True
2017_G_B248.pdf-ceeb3cc2-f05c-4906-833a-5eb02870f643,text_rag_then_rewrite,AllFig-RAG,17,16–20,0.3007594747518105,0.7520457782364431,Prop-RAG-T6,Proposed,-0.45128630348463267,False,False,0.7520457782364431,-0.45128630348463267,False,0.6486790139559079,-0.3479195392040974,False,0.6068826040781283,-0.30612312932631786,False
2016_G_B044.pdf-bb7acb2d-63cf-48d6-acf7-16e9e75ec953,text_rag_then_rewrite,AllFig-RAG,17,16–20,0.6807774109717979,0.7676079482957409,Layout-RAG-T6,Layout,-0.08683053732394297,False,False,0.7081849117329629,-0.02740750076116505,False,0.7676079482957409,-0.08683053732394297,False,0.5340639437947955,0.1467134671770024,True
2017_G_A156.pdf-526d4bc0-c508-47e0-9181-6bcff011181f,text_rag_then_rewrite,AllFig-RAG,18,16–20,0.4494939900013724,0.2329160468504033,Prop-RAG-T6,Proposed,0.21657794315096912,True,False,0.2329160468504033,0.21657794315096912,True,0.223702341239076,0.2257916487622964,True,0.205859096220109,0.2436348937812634,True
