paper_id,strategy,allfig_group,total_figure_count,figure_bin,allfig_score,best_prerecall_score,best_prerecall_group,best_prerecall_method,delta_allfig_minus_best,allfig_wins,allfig_ties,Proposed_score,delta_allfig_minus_Proposed,allfig_beats_Proposed,Layout_score,delta_allfig_minus_Layout,allfig_beats_Layout,QwenVL_score,delta_allfig_minus_QwenVL,allfig_beats_QwenVL
2018_G_D029.pdf-10d238b4-ee16-4891-9522-f7e895f2f545,end_to_end_vlm,AllFig-E2E,5,≤10,0.3272331535589353,0.4076143240340335,QwenVL-E2E-T6,QwenVL,-0.08038117047509824,False,False,0.3948052879181249,-0.06757213435918963,False,0.3047896541197236,0.0224434994392117,True,0.4076143240340335,-0.08038117047509824,False
2018_G_B334.pdf-9618d410-024a-4368-8c34-abb687df4146,end_to_end_vlm,AllFig-E2E,6,≤10,0.556519791668573,0.5886435934686587,Layout-E2E-T6,Layout,-0.03212380180008567,False,False,0.5714285714285714,-0.01490877975999838,False,0.5886435934686587,-0.03212380180008567,False,0.5397968331545343,0.01672295851403871,True
2017_G_D035.pdf-dd7e65e6-ee52-4f20-a6d6-e97d20729925,end_to_end_vlm,AllFig-E2E,7,≤10,0.5474343554119824,0.6539277673829326,Prop-E2E-T6,Proposed,-0.10649341197095019,False,False,0.6539277673829326,-0.10649341197095019,False,0.530316195287357,0.017118160124625414,True,0.3834437871526888,0.1639905682592936,True
2018_G_C008.pdf-3e10abb3-a9d0-4ecb-898d-01d2020ed451,end_to_end_vlm,AllFig-E2E,7,≤10,0.7490403146442235,0.7361671874114218,Layout-E2E-T6,Layout,0.012873127232801651,True,False,0.7056261844873619,0.043414130156861575,True,0.7361671874114218,0.012873127232801651,True,0.7107999320805742,0.038240382563649256,True
2018_G_B203.pdf-cd92e332-dd42-40fe-9530-03ab83e77d3a,end_to_end_vlm,AllFig-E2E,7,≤10,0.2599626639501004,0.2812364384551394,Layout-E2E-T6,Layout,-0.021273774505038978,False,False,0.2778771024604742,-0.017914438510373776,False,0.2812364384551394,-0.021273774505038978,False,0.2690688279384644,-0.009106163988364002,False
2017_G_D002.pdf-34552dc9-fe7d-49e0-90b4-279a27481fa2,end_to_end_vlm,AllFig-E2E,9,≤10,0.603420058963426,0.6496448292059659,Prop-E2E-T6,Proposed,-0.0462247702425399,False,False,0.6496448292059659,-0.0462247702425399,False,0.4727428987387929,0.1306771602246331,True,0.438535367105324,0.164884691858102,True
2017_G_B315.pdf-11a42682-c012-4452-b69e-37bc3de34fc6,end_to_end_vlm,AllFig-E2E,10,≤10,0.4588814522534124,0.5714285714285714,Layout-E2E-T6,Layout,-0.11254711917515897,False,False,0.4233754136487238,0.03550603860468865,True,0.5714285714285714,-0.11254711917515897,False,0.2856299012160498,0.17325155103736262,True
2017_G_B104.pdf-435f7107-40d7-45f1-8d90-183339b8efc2,end_to_end_vlm,AllFig-E2E,10,≤10,0.5714285714285714,0.5714285714285714,Prop-E2E-T6,Proposed,0.0,False,True,0.5714285714285714,0.0,False,0.5417274681700136,0.029701103258557793,True,0.5417825739075076,0.029645997521063783,True
2018_G_A440.pdf-065775f5-ff13-48f5-b12d-623da439971f,end_to_end_vlm,AllFig-E2E,10,≤10,0.424697853159054,0.4233722974269041,Prop-E2E-T6,Proposed,0.00132555573214993,True,False,0.4233722974269041,0.00132555573214993,True,0.3595772093739847,0.06512064378506932,True,0.3577518411083584,0.06694601205069561,True
2018_G_A229.pdf-b6d5ce70-0a39-4325-8406-1c887d9ce90c,end_to_end_vlm,AllFig-E2E,11,11–15,0.363477662827328,0.5714285714285714,QwenVL-E2E-T6,QwenVL,-0.20795090860124338,False,False,0.3937464945284856,-0.030268831701157572,False,0.3856457761282774,-0.022168113300949366,False,0.5714285714285714,-0.20795090860124338,False
