figure_bin,paper_count,mean_total_figures,allfig_mean,allfig_median,best_prerecall_mean,best_prerecall_median,delta_mean,delta_median,allfig_win_rate,allfig_win_count,proposed_mean,allfig_beats_proposed_rate,layout_mean,allfig_beats_layout_rate,qwenvl_mean,allfig_beats_qwenvl_rate
≤10,9,7.89,0.4998,0.5474,0.5426,0.5714,-0.0428,-0.0321,0.2222,2,0.5191,0.3333,0.4874,0.6667,0.4372,0.7778
11–15,6,12.17,0.4181,0.4206,0.496,0.5324,-0.0779,-0.0692,0.1667,1,0.4238,0.5,0.389,0.5,0.3843,0.5
16–20,7,18.0,0.4753,0.4979,0.4579,0.4299,0.0175,0.0219,0.7143,5,0.4367,0.7143,0.4189,0.8571,0.3509,0.8571
21–30,5,24.6,0.4835,0.5287,0.4461,0.4708,0.0374,0.0727,0.8,4,0.3141,1.0,0.3544,0.8,0.3671,1.0
31+,4,38.25,0.4463,0.4508,0.4861,0.4968,-0.0398,0.0132,0.5,2,0.4477,0.5,0.3983,0.75,0.3933,0.75
